Category,IndexName,IndexSymbol,DownloadSymbol,Date,Open,High,Low,Close,Adj Close,Volume
Nifty Bank,Nifty Bank,^NSEBANK,^NSEBANK,2022-03-04,34526.1015625,35097.75,34094.1015625,34407.80078125,34407.40234375,194500.0
Nifty Bank,Nifty Bank,^NSEBANK,^NSEBANK,2022-03-07,33278.1484375,33543.30078125,32376.5,32871.25,32870.8671875,248900.0
Nifty Bank,Nifty Bank,^NSEBANK,^NSEBANK,2022-03-08,32531.900390625,33263.55078125,32155.349609375,33158.1015625,33157.71484375,276800.0
Nifty Bank,Nifty Bank,^NSEBANK,^NSEBANK,2022-03-09,33278.8984375,33969.5,32948.8984375,33815.44921875,33815.0546875,258500.0
Nifty Bank,Nifty Bank,^NSEBANK,^NSEBANK,2022-03-10,35153.94921875,35374.1484375,34218.05078125,34475.6015625,34475.19921875,273900.0
Nifty Bank,Nifty Bank,^NSEBANK,^NSEBANK,2022-03-11,34331.0,34880.05078125,34094.30078125,34546.25,34545.84765625,169500.0
Nifty Bank,Nifty Bank,^NSEBANK,^NSEBANK,2022-03-14,34660.25,35435.1015625,34625.05078125,35312.1484375,35311.73828125,193300.0
Nifty Bank,Nifty Bank,^NSEBANK,^NSEBANK,2022-03-15,35467.94921875,35643.80078125,34706.05078125,35022.6484375,35022.2421875,224200.0
Nifty Bank,Nifty Bank,^NSEBANK,^NSEBANK,2022-03-16,35555.75,35806.3515625,35461.55078125,35748.25,35747.8359375,173800.0
Nifty Bank,Nifty Bank,^NSEBANK,^NSEBANK,2022-03-17,36302.0,36611.94921875,36261.6484375,36428.55078125,36428.12890625,182000.0
Nifty Bank,Nifty Bank,^NSEBANK,^NSEBANK,2022-03-21,36545.8515625,36600.19921875,35900.19921875,36018.5,36018.08203125,128700.0
Nifty Bank,Nifty Bank,^NSEBANK,^NSEBANK,2022-03-22,35975.6015625,36468.80078125,35384.75,36348.55078125,36348.12890625,202900.0
Nifty Bank,Nifty Bank,^NSEBANK,^NSEBANK,2022-03-23,36627.69921875,36827.6015625,36064.75,36147.3515625,36146.9296875,197900.0
