ticker,date,current_price,sma20,sma50,sma100,sma200,price_vs_sma20,price_vs_sma50,price_vs_sma100,price_vs_sma200,ath,current_drawdown,drawdown_from_252d_high,drawdown_percentile,rsi14,volume_ratio_20,volume_ratio_50,return_5d,return_20d,return_60d,return_120d,return_252d,volatility_20d,volatility_60d,trend_regime,volatility_regime,price_volume_regime
BAJAJ-AUTO.NS,2026-08-28,11910.0,11724.1,10928.32,10493.005595703125,9841.76234375,0.015856227770148612,0.0898289947585722,0.1350418039305279,0.21014911598260966,12181.87890625,-0.02231830642402055,-0.0014253374696068244,0.7879194630872484,60.300618921308576,1.1511869718173242,0.7114520520034507,0.017948717948717885,0.03380929647150732,0.151614774705086,0.28718027198319773,0.3895889526912586,0.19421545046225436,0.22457211792139917,STRONG_UPTREND,NORMAL_VOLATILITY,normal
BAJAJFINSV.NS,2026-08-28,2002.0,2029.7200012207031,1927.6089672851563,1847.3525390625,1904.5362884521485,-0.013657056738876294,0.03859238775985574,0.08371302048063933,0.05117451010978735,2174.744384765625,-0.07943204083004995,-0.07943204083004995,0.4147651006711409,42.17354372055909,0.42518127418543633,0.37865868641192935,-0.015006150061500634,-0.013355663058500444,0.1764375407349894,0.08808491321996192,0.041320205640686725,0.20147874176875336,0.25323822978775395,UPTREND,NORMAL_VOLATILITY,low-volume correction
BAJAJHLDNG.NS,2026-08-28,11340.0,11409.25,10953.27875,10575.11603515625,10614.219248046875,-0.00606963647917258,0.03530643735329031,0.07232865930746724,0.06837815716748796,14274.1474609375,-0.20555675699491416,-0.15555155751394956,0.23355704697986576,45.448227936066715,0.7703952820436114,0.6136807391919317,0.0017667844522968323,-0.00026448029621795044,0.12568979297849525,0.12008880333683858,-0.11227983990984092,0.19369469449042517,0.2551646268539996,CORRECTION,LOW_VOLATILITY,low-volume correction
BAJFINANCE.NS,2026-08-28,1079.9000244140625,1100.860009765625,1055.1584045410157,985.4282073974609,971.1426007080078,-0.019039646427001067,0.02344825171895315,0.0958687972471417,0.11198913900673868,1158.800048828125,-0.06808769510654822,-0.06808769510654822,0.6281879194630873,37.48600849149275,0.7824889628897622,0.5574547747613152,-0.013789932041952002,-0.05371532542992563,0.22165317570008947,0.15829474769153906,0.2399867486798264,0.2563570555003287,0.31663785513027726,UPTREND,HIGH_VOLATILITY,low-volume correction
BANKBARODA.NS,2026-08-28,241.8999938964844,245.78649978637696,251.4015985107422,257.58527359008787,269.80483894348146,-0.01581252791862242,-0.03779452744351497,-0.060893542068575224,-0.10342603622777324,314.2847900390625,-0.23031593776326686,-0.23031593776326686,0.06845637583892618,39.35134475295618,0.47949543305429476,0.3512687837443087,-0.020647797989941652,-0.0028854583240714993,-0.0826697660272826,-0.13305326050316857,0.06202262883519816,0.18240504835871582,0.27229994977620364,DOWNTREND,NORMAL_VOLATILITY,normal
BEL.NS,2026-08-28,411.8999938964844,405.79128265380865,407.2979400634766,416.8814971923828,418.2201403808594,0.015053825707456614,0.011298986271058853,-0.011949446855876067,-0.015112008901865592,467.81494140625,-0.11952364612743127,-0.11952364612743127,0.26308724832214764,60.769477396601474,0.7914176250107944,0.6996414161557906,-0.005072478510907308,0.06345022183152493,0.010434006769396431,-0.09815424537328554,0.1321991885024707,0.14418118476345274,0.2022923662174534,DOWNTREND,LOW_VOLATILITY,normal
BHARTIARTL.NS,2026-08-28,1882.4000244140625,1940.9449951171875,1910.5697509765623,1865.8314282226563,1920.0765625,-0.030163127162493475,-0.01474414977422378,0.008880007025709125,-0.01962241445043289,2135.820068359375,-0.11865233766624195,-0.11865233766624195,0.12348993288590604,40.110970829420694,0.9382207025442905,0.9858875895403294,-0.03268241294241392,-0.04543609309631724,0.059999173756357216,0.021101720414272496,0.0007300752250043452,0.19346590086374246,0.18490320206351735,DOWNTREND,LOW_VOLATILITY,normal
BOSCHLTD.NS,2026-08-28,48640.0,46166.25,43017.639453125,40009.8223828125,37560.60953125,0.053583516096715744,0.1306989555529079,0.21570147286869412,0.2949736600928181,48895.0,-0.005215257183761146,-0.005215257183761146,0.8373655913978495,83.15041962556488,0.5389519392899967,0.6595540370091798,0.009128630705394158,0.19167767250454593,0.31471743295272003,0.4687289528035603,0.25265647165033567,0.2705031399862416,0.22732545624281625,STRONG_UPTREND,LOW_VOLATILITY,low-volume correction
BPCL.NS,2026-08-28,319.25,317.57750091552737,313.6979998779297,307.49000091552733,327.1692991638184,0.005266428130617173,0.017698551231537296,0.0382451430923223,-0.024205508230932926,388.2999877929688,-0.17782639702215086,-0.17782639702215086,0.28187919463087246,51.1415512388172,0.9762538611770301,0.7793486397960477,0.026527331189710512,-0.0015637216575449253,0.08220338983050857,-0.03593535894856226,0.07364868484711296,0.19713912379665713,0.2548791898510277,DOWNTREND,LOW_VOLATILITY,normal
DMART.NS,2026-08-28,3830.60009765625,3962.779992675781,4035.0320068359374,4167.976013183594,4026.8760083007815,-0.033355345304012074,-0.050664259622563046,-0.08094478338171829,-0.04874148353213237,5391.4501953125,-0.2895046863297195,-0.2068001050715208,0.16375838926174496,21.664121210769935,0.6077987140768665,0.46846760122573383,-0.01930361043106754,-0.023055318118783474,-0.07567204354919022,-0.03418885966038099,-0.1878127010068239,0.22259593421737336,0.2454417256320386,CORRECTION,NORMAL_VOLATILITY,low-volume correction
RELIANCE.NS,2026-08-28,1287.0,1311.4550048828125,1304.352001953125,1324.9071704101561,1390.0629174804687,-0.01864723135125612,-0.013303158907367219,-0.028611189717103747,-0.07414262777923275,1584.9718017578125,-0.18799817222448179,-0.18799817222448179,0.15436241610738255,31.42854892713133,0.6842502928236999,0.6181780054902347,-0.02203647416413379,-0.015904609306876205,-0.0030983733539891034,-0.09202908785261787,-0.06639427101324935,0.18506027997114882,0.18505299188192567,DOWNTREND,LOW_VOLATILITY,normal
